variable,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
lambda[76],1.0743561288084043,0.004537431330643511,0.20657810394873688,0.6751007726530979,0.9308156995894663,1.0734020871609276,1.2213440657998929,1.4671758815938878,2072.757250548852,1.0005391371414465
lambda[77],0.6891589566622095,0.0037481847238160994,0.1834656363283525,0.3386358724887515,0.5631325985103173,0.6885688230259142,0.8126041344686963,1.0558613457284471,2395.8933959117453,0.9995357148999121
lambda[78],0.075247360300931,0.004233033224679595,0.24634726399749976,-0.38872503493561295,-0.10249463139294926,0.07726362618506992,0.24770290380243334,0.5530437047051591,3386.8201271943044,0.9998465269006793
lambda[79],0.27588128691273106,0.005391330547463073,0.33132328247194726,-0.3673755282946743,0.050057181754043806,0.2637746702745507,0.49321994326470725,0.9503904855218249,3776.6956790220356,1.0011164140829076
lambda[80],-0.38152390839761957,0.0035026597580521393,0.19213064564183482,-0.7698927629640989,-0.5078172561151957,-0.37668374903878066,-0.2503579729068762,-0.0085034891929174,3008.8281163825627,0.999956116878801
lambda[81],-0.6019849774944834,0.0037797539834146863,0.20900461084859878,-1.031111410155842,-0.740714846727437,-0.5964109089446771,-0.45798572121825865,-0.20701047833902367,3057.62814652559,1.0015667476661518
lambda[82],-0.4440310890477848,0.0033777002583130805,0.19031022115139243,-0.824752026370884,-0.5686494220573506,-0.4464526293000084,-0.3145982373576656,-0.06650675351702222,3174.548845204985,1.0007697710412309
lambda[83],-0.28769222620242607,0.004909979878463221,0.27077739203945944,-0.8235258317499798,-0.47215105044591676,-0.28545003399022917,-0.10433740316520373,0.23976208069566163,3041.342826187324,0.9999329829902367
lambda[84],-0.6969008691698877,0.00415696071226473,0.26379575188938975,-1.2180345017824612,-0.8747779723137237,-0.6929298682488123,-0.5140025634388352,-0.2016942128927518,4027.0197078400456,0.9994187160603273
lambda[85],0.5856037921493467,0.004037819395026496,0.19178827559927064,0.2041598448074269,0.4571882295494285,0.5867784351998795,0.7119988695801454,0.9691777093671489,2256.058356536523,0.9998289170648299
lambda[86],0.8522927546543102,0.0035945676074820086,0.1833470448390445,0.4974315857912772,0.7281366806443725,0.8501947526865936,0.9760075777651086,1.2144395362120728,2601.683821050913,1.0006901188495547
lambda[87],-0.5953491472777047,0.0040485081454862204,0.2176295930105546,-1.021671779045254,-0.7446791803654754,-0.5938911527440967,-0.4509526448725457,-0.16668020811556095,2889.6541359868247,1.0001720443941258
