Parameter,Mean,Median,HPD_lower,HPD_higher,q_lower,q_higher,Rhat,n_eff
"U1[28,2]",-0.532906537351525,-0.53973,-2.162,1.06434,-2.13361475,1.095232499999999,0.9998209,17127.754
"U1[29,2]",-0.39904959143149166,-0.39583749999999995,-2.04687,1.3024,-2.079407,1.2824304999999998,0.9998556,17609.257
"U1[30,2]",-0.25973681042348334,-0.264873,-1.8047,1.37906,-1.8443519999999993,1.3460124999999998,1.0000809,19162.476
"U1[31,2]",0.15428540234416666,0.163164,-1.6935500000000001,2.08974,-1.74933,2.04406175,1.0006023,21354.345
"U1[32,2]",0.2717018448606667,0.274269,-1.43724,1.93987,-1.4233049999999998,1.9573515,1.0000062,17878.897
"U1[33,2]",0.19581808974216666,0.2020265,-1.47987,1.8545,-1.4833974999999995,1.8533657499999998,1.0009837,18182.138
"U1[34,2]",-0.27794936918325,-0.2612295,-1.90738,1.36717,-1.908071249999999,1.3654887499999995,1.0001795,18599.391
"U1[35,2]",-0.48333574308629834,-0.482198,-2.30708,1.34754,-2.3130159999999997,1.3436825,1.0003748,22894.296
"U1[36,2]",-0.14432209435761667,-0.1426465,-1.90566,1.50296,-1.85318125,1.5814619999999997,0.9998355,20440.234
"U1[37,2]",0.3051760849281333,0.300721,-1.50302,1.95811,-1.4445769999999998,2.037593999999999,1.0000742,19885.511
"U1[38,2]",-0.21652160620775,-0.22431800000000002,-2.07535,1.72546,-2.1199107499999994,1.702708249999999,1.0025453,19366.658
"U1[39,2]",-0.3277949494758333,-0.331646,-2.05126,1.37028,-2.03407125,1.3907727499999996,1.0002963,19697.577
"U1[40,2]",-0.533170684723,-0.5304949999999999,-2.37772,1.37233,-2.42322875,1.3465772499999995,1.0000471,23551.525
"U1[41,2]",0.2599821434871892,0.2629275,-1.3541,1.86137,-1.343070749999999,1.8724249999999998,0.9999502,18871.372
"U1[42,2]",0.10043896888656484,0.10835800000000001,-1.58847,1.83746,-1.5885087499999997,1.8367482499999996,1.0005798,20066.262
"U1[43,2]",1.685033174013325,1.68338,0.0688851,3.23361,0.10241772500000045,3.277218,1.0004974,16794.228
"U1[44,2]",0.3155602595410733,0.3192435,-1.45258,2.08209,-1.461019999999999,2.0769355,1.0000286,18337.807
"U1[45,2]",-0.279864098103525,-0.273669,-2.01658,1.44415,-2.017266749999999,1.4429794999999996,1.0011290,18020.562
"U1[46,2]",0.2904209992074833,0.294869,-1.54884,1.99811,-1.48990025,2.0670939999999995,0.9998837,20029.252
"U1[47,2]",-0.228190713194,-0.2237545,-1.91969,1.49364,-1.9557759999999997,1.4636579999999995,1.0000696,19228.420
"U1[48,2]",-0.0011851786397949996,-0.004800465,-1.9932,1.99482,-1.99258575,1.9948464999999997,1.0002408,21782.025
"U1[49,2]",-0.15196957772108333,-0.1586615,-2.07955,1.69605,-2.0391937499999995,1.7377965,1.0007979,20348.479
"U1[50,2]",-0.5946230408119834,-0.5980535,-2.22461,1.06289,-2.2524839999999995,1.0384825000000002,0.9999695,16907.357
"U1[51,2]",-0.4503718841128,-0.4466945,-2.05252,1.24848,-2.10850225,1.2027979999999994,1.0001506,19057.685
"U1[52,2]",0.73217840265275,0.7394345,-0.887146,2.31748,-0.8754934499999999,2.3372815,1.0004203,18065.978
"U1[53,2]",-0.32990552575715,-0.33295149999999996,-2.11659,1.42708,-2.113319749999999,1.4337949999999995,1.0000716,21190.804
"U1[54,2]",0.06486692156583333,0.07172999999999999,-1.75315,1.85867,-1.7410199999999991,1.8717724999999998,1.0000080,22256.289
"U1[55,2]",-0.5976721287975,-0.6048795,-2.24926,1.17092,-2.301040749999999,1.1285962499999997,1.0000904,19563.944
"U1[56,2]",-0.12161636601250833,-0.1232675,-1.80715,1.6317,-1.8474944999999998,1.5988665,1.0013373,21336.235
"U1[57,2]",0.22287377764016666,0.215177,-1.41111,1.90535,-1.4182304999999997,1.8989025,1.0000869,18804.716
"U1[58,2]",-0.02385688562732,-0.0226616,-1.95343,1.89162,-1.93714,1.912990999999999,0.9998084,22202.797
"U1[59,2]",0.20706260210291666,0.213429,-1.60834,2.0474,-1.6260029999999996,2.0327814999999987,1.0001244,22047.198
"U1[60,2]",-0.27642735261774165,-0.2739705,-2.0672,1.46169,-2.0426265,1.49245275,1.0000256,19933.247
"U1[61,2]",-0.5679941377712425,-0.570617,-2.41419,1.38882,-2.48543925,1.33480275,1.0009959,20768.627
"U1[62,2]",-0.04000253954881584,-0.04843385,-1.91758,1.85684,-1.9560564999999996,1.8402442499999998,1.0000341,20437.096
"U1[63,2]",0.34148399554375,0.341385,-1.4846,2.10977,-1.4655857499999996,2.134656249999999,1.0006356,19223.616
"U1[64,2]",0.012347766050800001,0.0134063,-1.84473,1.88127,-1.8441742499999998,1.8813309999999992,1.0007257,17787.831
"U1[65,2]",0.8942820116704167,0.8783585,-0.962134,2.65849,-0.9150090999999999,2.7194629999999993,1.0004026,19382.938
"U1[66,2]",-0.15348269099413334,-0.16110750000000001,-2.02901,1.82936,-2.0724222499999994,1.7971089999999996,1.0006888,21374.269
