Player,Ability,SE
Yuichi Sugita,1.5803862257570989,1.384413929724832
Michael Berrer,0.16293032181965778,1.3916042937741584
Alexandr Dolgopolov,2.7938208452949844,1.3611632430604654
Kevin Anderson,3.140581386208831,1.3596322403276675
Leonardo Mayer,2.4859403420312267,1.3646740017323398
Riccardo Ghedin,1.694271314389572,1.725653580632199
Yen-Hsun Lu,0.8429578481152274,1.3789764604146135
Marco Chiudinelli,-1.48595903861453,1.498609681454271
Kenny de Schepper,2.0377386833944104,1.376258859141799
Andreas Seppi,2.0476664262820075,1.3596493168711183
Mischa Zverev,1.1847763589535099,1.370515803055603
Frank Dancevic,-0.08331287947345664,1.4423491527782142
Artem Sitak,-18.040134170479682,1772.658738042467
Jan Hajek,-0.5087014461078071,1.5572784530587647
Carlos Berlocq,1.2624655867449928,1.3717847053156451
Guillermo Garcia-Lopez,1.761524065140925,1.3610933264306908
Adrian Menendez-Maceiras,0.04160328631774787,1.41819042467002
Dudi Sela,1.3152464821272842,1.3753094162060435
Jan Mertl,-2.4914792144388493,1.7224038928203824
Andrea Arnaboldi,-1.7895164768910985,1.607323171281821
Lamine Ouahab,-0.2721038218382442,1.6287766524758407
Jan Hernych,-2.6604509989860086,1.5450746380489833
Danai Udomchoke,-19.543239385074905,2050.8297448667763
Alexander Waske,-15.993380646127612,1296.3075751352687
Ivan Navarro,-3.3155860037265863,1.7711631838352957
Adrian Sikora,1.7837788479826484,1.9047156636284932
Matthias Bachinger,1.3152512100997455,1.3762631991986225
Adrian Ungur,-0.0780237263553485,1.4629802633508793
Jaroslav Pospisil,-2.615367033654524,2.134857485271957
Diego Junqueira,-2.5514052280147035,2.0720020648739053
Ivo Minar,-0.6855988564699628,1.6546490823057793
Theodoros Angelinos,-18.218576050325645,3239.5363012814423
Guillaume Couillard,-19.644092237571275,10754.013031686056
Flavio Cipolla,0.5042071444572928,1.4030735288666218
David Nalbandian,0.009443871920322061,1.4945114218969455
Frantisek Cermak,-33.563275471177676,2602.153136654077
Mikhail Elgin,-31.400156292315827,1802.458255881777
Adrien Bossel,0.6575064524358317,1.409296249770819
Sander Groen,-18.908562060799294,10754.013035101847
Mikhail Ledovskikh,-2.5683501809404654,1.9756721343869788
Paul-Henri Mathieu,0.14070327501568272,1.3790540099600626
Frederik Nielsen,-1.2999465085197441,1.6329326474201573
Agustin Velotti,3.300831039746698,1.5412954211878052
Eduardo Struvay,0.5216998671542018,1.9026115655691669
Bradley Klahn,2.5599218324545445,1.401626556959769
Guido Pella,2.595041387907177,1.372324271870746
Ahmed Deedat Abdul Razak,19.566068511076338,10754.012931602821
Zach Itzstein,NA,NA
Akira Santillan,6.367273176307983,1.670895376957019
Uladzimir Ignatik,1.4217441612642987,1.4876154288784358
Sadio Doumbia,3.4671394098199793,3.5455088285857017
Go Soeda,-0.24975723790309623,1.4268877692225128
Pedja Krstin,6.532825005103245,1.6037819855660023
Bradley Mousley,4.859846918664762,1.7237287511374724
Elias Ymer,5.446367341079756,1.4470813767171185
Michael Mmoh,4.995550724153596,1.4945834038026493
Benjamin Becker,1.1473303466486655,1.3713583364006299
Tobias Kamke,0.7704048690131563,1.3766746127224274
Daniel Evans,3.147439189290177,1.3996424136823102
Alban Meuffels,20.243257093287525,10754.013064660663
Yann Marti,0.6771885822059303,1.6915204478899108
Albano Olivetti,3.3760294014811008,1.4890043036240483
Alexander Lazov,0.5656602114648079,2.206218723824586
Dusan Lajovic,2.653729070446768,1.3641596516749894
Philipp Marx,-34.56634107805711,11045.779223851727
Antoine Benneteau,-18.43641768514744,5543.572000447586
Mardy Fish,2.6496163989812542,1.4023490009572974
Josselin Ouanna,0.42576970525608465,1.4889248501892656
Romain Jouan,2.201876858269744,1.5485076579751695
Edward Corrie,0.6700942264388409,1.719746885688282
Albert Montanes,0.15496496808898183,1.390828797960563
